title,date,tags,company,link
메트릭러닝 기반 안경 검색 서비스 개발기(2),2020.02.05,ai#metric learning#rounz#라운즈#metric learning,이스트소프트,https://blog.est.ai/2020/02/%EB%A9%94%ED%8A%B8%EB%A6%AD%EB%9F%AC%EB%8B%9D-%EA%B8%B0%EB%B0%98-%EC%95%88%EA%B2%BD-%EA%B2%80%EC%83%89-%EC%84%9C%EB%B9%84%EC%8A%A4-%EA%B0%9C%EB%B0%9C%EA%B8%B02/
AI 앱 개발을 위한 학습용 데이터 구축기,2020.01.20,ai#ai데이터#ai데이터#pawever#강아지앱,이스트소프트,https://blog.est.ai/2020/01/ai-%EC%95%B1-%EA%B0%9C%EB%B0%9C%EC%9D%84-%EC%9C%84%ED%95%9C-%ED%95%99%EC%8A%B5%EC%9A%A9-%EB%8D%B0%EC%9D%B4%ED%84%B0-%EA%B5%AC%EC%B6%95%EA%B8%B0/
"AI R&D 그랜드 챌린지, 상황인지 트랙 2위 줌인터넷",2020.01.05,ai#ai대회#ai연구소#vision#과기정통부,이스트소프트,https://blog.est.ai/2020/01/ai-rd-%EA%B7%B8%EB%9E%9C%EB%93%9C-%EC%B1%8C%EB%A6%B0%EC%A7%80-%EC%83%81%ED%99%A9%EC%9D%B8%EC%A7%80-%ED%8A%B8%EB%9E%99-2%EC%9C%84-%EC%A4%8C%EC%9D%B8%ED%84%B0%EB%84%B7/
시계열 분석과 페어트레이딩 part.2,2019.12.05,ai#시계열 분석#페어트레이딩#ai#이스트소프트,이스트소프트,https://blog.est.ai/2019/12/%EC%8B%9C%EA%B3%84%EC%97%B4-%EB%B6%84%EC%84%9D%EA%B3%BC-%ED%8E%98%EC%96%B4%ED%8A%B8%EB%A0%88%EC%9D%B4%EB%94%A9-part-2/
AI PLUS 2019 컨퍼런스 소개,2019.11.05,ai#ai학회#lg#skt#line,이스트소프트,https://blog.est.ai/2019/11/ai-plus-2019-%EC%BB%A8%ED%8D%BC%EB%9F%B0%EC%8A%A4-%EC%86%8C%EA%B0%9C/
메트릭러닝 기반 안경 검색 서비스 개발기(1),2019.11.04,ai#ai가상피팅#ar피팅#metric learning#rounz,이스트소프트,https://blog.est.ai/2019/11/%EC%95%88%EA%B2%BD-%EA%B2%80%EC%83%89-%EC%84%9C%EB%B9%84%EC%8A%A4-glasses-finder/
딥러닝 기반 연예뉴스분석시스템 개발기,2019.11.03,ai#ai뉴스#ai research#search#search,이스트소프트,https://blog.est.ai/2019/11/%EC%85%80%EB%9F%BD-now-%EB%94%A5%EB%9F%AC%EB%8B%9D-%EA%B8%B0%EB%B0%98%EC%9D%98-%EC%97%B0%EC%98%88-%EB%89%B4%EC%8A%A4-%EB%B6%84%EC%84%9D-%EC%8B%9C%EC%8A%A4%ED%85%9C/
BERT를 활용한 챗봇 시스템,2019.11.02,ai#ai research#ai연구동향#bert#딥러닝,이스트소프트,https://blog.est.ai/2019/11/task-oriented-dialog-systems-meet-bert/
시계열 분석과 페어트레이딩 part.1,2019.11.01,ai#stationarity#tech blog#tech blog#timeseries,이스트소프트,https://blog.est.ai/2019/11/%EC%8B%9C%EA%B3%84%EC%97%B4-%EB%B6%84%EC%84%9D%EA%B3%BC-%ED%8E%98%EC%96%B4%ED%8A%B8%EB%A0%88%EC%9D%B4%EB%94%A9-part-1/
블로그 소개 및 운영정책,2019.10.30,ai#aiplus#tech blog#tech blog#이스트소프트,이스트소프트,https://blog.est.ai/2019/10/%EB%B8%94%EB%A1%9C%EA%B7%B8-%EC%86%8C%EA%B0%9C-%EB%B0%8F-%EC%9A%B4%EC%98%81%EC%9B%90%EC%B9%99/
