title,date,tags,company,link
무슨 일 하고 계세요? #웹팀,2021.02.26,culture,왓챠,https://medium.com/watcha/%EB%AC%B4%EC%8A%A8-%EC%9D%BC-%ED%95%98%EA%B3%A0-%EA%B3%84%EC%84%B8%EC%9A%94-%EC%9B%B9%ED%8C%80-%EC%9D%B4%EC%95%BC%EA%B8%B0-953a3eb75ea2?source=---------21-----------------------
좋아하는 것에 대하여 #2 맥주 찾아 전국을 탐험하는 Hazel | by 왓챠 | WATCHA | Medium,2021.02.10,culture,왓챠,https://medium.com/watcha/%EC%A2%8B%EC%95%84%ED%95%98%EB%8A%94-%EA%B2%83%EC%97%90-%EB%8C%80%ED%95%98%EC%97%AC-2-%EB%A7%A5%EC%A3%BC-%EC%B0%BE%EC%95%84-%EC%A0%84%EA%B5%AD%EC%9D%84-%ED%83%90%ED%97%98%ED%95%98%EB%8A%94-hazel-30d4da06afae?source=---------22-----------------------
"좋아하는 것에 대하여: 영화 보는 개발자, Carl",2021.01.29,culture,왓챠,https://medium.com/watcha/%EC%A2%8B%EC%95%84%ED%95%98%EB%8A%94-%EA%B2%83%EC%97%90-%EB%8C%80%ED%95%98%EC%97%AC-%EC%98%81%ED%99%94-%EB%B3%B4%EB%8A%94-%EA%B0%9C%EB%B0%9C%EC%9E%90-carl-7c9434549c9c?source=---------23-----------------------
무슨 일 하고 계세요? #안드로이드팀,2021.01.29,culture,왓챠,https://medium.com/watcha/%EB%AC%B4%EC%8A%A8-%EC%9D%BC-%ED%95%98%EA%B3%A0-%EA%B3%84%EC%84%B8%EC%9A%94-%EC%95%88%EB%93%9C%EB%A1%9C%EC%9D%B4%EB%93%9C%ED%8C%80-%EC%9D%B4%EC%95%BC%EA%B8%B0-ae88f1efc255?source=---------24-----------------------
WATCHA WEB 팀의 2020년 회고,2021.01.22,,왓챠,https://medium.com/watcha/watcha-web-%ED%8C%80%EC%9D%98-2020%EB%85%84-%ED%9A%8C%EA%B3%A0-c26e411843ba?source=---------25-----------------------
왓챠가 비효율의 숙달화를 없애는 방법,2020.01.13,culture,왓챠,https://medium.com/watcha/%EC%99%93%EC%B1%A0%EA%B0%80-%EB%B9%84%ED%9A%A8%EC%9C%A8%EC%9D%98-%EC%88%99%EB%8B%AC%ED%99%94%EB%A5%BC-%EC%97%86%EC%95%A0%EB%8A%94-%EB%B0%A9%EB%B2%95-f608e51bd09a?source=---------26-----------------------
게으른 개발자와 부지런한 CS팀이 만났을 때,2019.11.29,culture#thinking,왓챠,https://medium.com/watcha/%EA%B2%8C%EC%9C%BC%EB%A5%B8-%EA%B0%9C%EB%B0%9C%EC%9E%90%EC%99%80-%EB%B6%80%EC%A7%80%EB%9F%B0%ED%95%9C-cs%ED%8C%80%EC%9D%B4-%EB%A7%8C%EB%82%AC%EC%9D%84-%EB%95%8C-17d0ef60c378?source=---------27-----------------------
WATCHA가 일하는 방식 — 수습의 시선에서,2019.03.24,thinking#culture,왓챠,https://medium.com/watcha/%EC%A2%8B%EC%9D%80-%ED%9A%8C%EC%82%AC%EA%B0%80-%EC%9D%BC%ED%95%98%EB%8A%94-%EB%B0%A9%EC%8B%9D-75e6b2420e41?source=---------28-----------------------
Kubernetes-native 로그 플랫폼,2023.08.02,watcha#ott#server#kubernetes,왓챠,https://medium.com/watcha/kubernetes-native-%EB%A1%9C%EA%B7%B8-%ED%94%8C%EB%9E%AB%ED%8F%BC-8ba43597ef47?source=---------0-----------------------
WATCHA K8S 전환 -PART 2,2021.08.04,server#kubernetes#api gateway#envoy proxy,왓챠,https://medium.com/watcha/watcha-k8s-%EC%A0%84%ED%99%98-part-2-caea323da57d?source=---------1-----------------------
WATCHA K8S 전환 -PART 1,2021.07.21,server#aws#kubernetes#gitops#api gateway,왓챠,https://medium.com/watcha/watcha-k8s-%EC%A0%84%ED%99%98-part-1-3ac7193d04d7?source=---------2-----------------------
WATCHA 푸시 서버 개선하기,2020.12.04,server#golang#push notification#firebase#aws,왓챠,https://medium.com/watcha/watcha-%ED%91%B8%EC%8B%9C-%EC%84%9C%EB%B2%84-%EA%B0%9C%EC%84%A0%ED%95%98%EA%B8%B0-56070b73c287?source=---------3-----------------------
WATCHA 사내 VPN 개발하기,2020.05.29,server#vpn#golang#google#aws,왓챠,https://medium.com/watcha/watcha-%EC%82%AC%EB%82%B4-vpn-%EA%B0%9C%EB%B0%9C%ED%95%98%EA%B8%B0-e04f946d3ccb?source=---------4-----------------------
